town,name,type,phone,sample_url,message,wa_link,send_status
Alexandra,Belfry,cafe,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-belfry.html,"Hi Belfry 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra cafe businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-belfry.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Naked,cafe,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-naked.html,"Hi Naked 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra cafe businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-naked.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,vida e caffè,cafe,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-vida-e-caff.html,"Hi vida e caffè 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra cafe businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-vida-e-caff.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Aston Martin,car,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-aston-martin.html,"Hi Aston Martin 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra car businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-aston-martin.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Audi,car,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-audi.html,"Hi Audi 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra car businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-audi.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Daytona Group,car,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-daytona-group.html,"Hi Daytona Group 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra car businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-daytona-group.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,KIA motor,car,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-kia-motor.html,"Hi KIA motor 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra car businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-kia-motor.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Rolls-Royce Motor Cars Sandton,car,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-rolls-royce-motor-cars-sandton.html,"Hi Rolls-Royce Motor Cars Sandton 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra car businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-rolls-royce-motor-cars-sandton.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Toyota,car,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-toyota.html,"Hi Toyota 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra car businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-toyota.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Ashwood Autosprint,car_repair,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-ashwood-autosprint.html,"Hi Ashwood Autosprint 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra car_repair businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-ashwood-autosprint.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Auto Bonn,car_repair,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-auto-bonn.html,"Hi Auto Bonn 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra car_repair businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-auto-bonn.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Danmar,car_repair,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-danmar.html,"Hi Danmar 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra car_repair businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-danmar.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,DEKRA,car_repair,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-dekra.html,"Hi DEKRA 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra car_repair businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-dekra.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,8th Avenue Clinic,clinic,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-8th-avenue-clinic.html,"Hi 8th Avenue Clinic 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra clinic businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-8th-avenue-clinic.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Masakhane Clinic,clinic,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-masakhane-clinic.html,"Hi Masakhane Clinic 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra clinic businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-masakhane-clinic.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Gillami,clothes,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-gillami.html,"Hi Gillami 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra clothes businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-gillami.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Si Belle,clothes,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-si-belle.html,"Hi Si Belle 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra clothes businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-si-belle.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Alexandra Customer Service Centre,company,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-alexandra-customer-service-cen.html,"Hi Alexandra Customer Service Centre 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra company businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-alexandra-customer-service-cen.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Avida,company,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-avida.html,"Hi Avida 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra company businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-avida.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Logicalis,company,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-logicalis.html,"Hi Logicalis 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra company businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-logicalis.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Silica Financial Administration,company,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-silica-financial-administratio.html,"Hi Silica Financial Administration 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra company businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-silica-financial-administratio.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Chipile Foods,convenience,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-chipile-foods.html,"Hi Chipile Foods 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra convenience businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-chipile-foods.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Fresh Stop,convenience,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-fresh-stop.html,"Hi Fresh Stop 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra convenience businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-fresh-stop.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Kwikspar,convenience,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-kwikspar.html,"Hi Kwikspar 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra convenience businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-kwikspar.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Marlboro Mini Mart,convenience,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-marlboro-mini-mart.html,"Hi Marlboro Mini Mart 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra convenience businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-marlboro-mini-mart.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Pick n Pay Express,convenience,+27 10 109 6999,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-pick-n-pay-express.html,"Hi Pick n Pay Express 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra convenience businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-pick-n-pay-express.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",https://wa.me/27101096999?text=Hi%20Pick%20n%20Pay%20Express%20%F0%9F%91%8B%20Thabang%20from%20SiteCraft%20SA%20here.%20I%20noticed%20a%20lot%20of%20Alexandra%20convenience%20businesses%20aren%27t%20easy%20to%20find%20on%20Google%20%E2%80%94%20so%20I%20built%20you%20a%20FREE%20sample%20site%20to%20show%20what%27s%20possible%3A%20https%3A//thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-pick-n-pay-express.html%0ANo%20catch%2C%20just%20proof.%20If%20you%20like%20it%2C%20the%20real%20version%20is%20R1%2C500%20setup%20%2B%20R450/month%20and%20comes%20WhatsApp-ready.%20Want%20it%20to%20be%20yours%3F%20Reply%20SITECRAFT.,pending
Alexandra,Wendywood Clinic,doctors,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-wendywood-clinic.html,"Hi Wendywood Clinic 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra doctors businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-wendywood-clinic.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Fax-a-bite,fast_food,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-fax-a-bite.html,"Hi Fax-a-bite 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra fast_food businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-fax-a-bite.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Kung-fu Kitchen,fast_food,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-kung-fu-kitchen.html,"Hi Kung-fu Kitchen 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra fast_food businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-kung-fu-kitchen.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,McDonald's,fast_food,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-mcdonald-s.html,"Hi McDonald's 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra fast_food businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-mcdonald-s.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,McDonald's,fast_food,,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-mcdonald-s.html,"Hi McDonald's 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra fast_food businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-mcdonald-s.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",,no_phone
Alexandra,Astron Energy,fuel,+27 11 346 0298,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-astron-energy.html,"Hi Astron Energy 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra fuel businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-astron-energy.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",https://wa.me/27113460298?text=Hi%20Astron%20Energy%20%F0%9F%91%8B%20Thabang%20from%20SiteCraft%20SA%20here.%20I%20noticed%20a%20lot%20of%20Alexandra%20fuel%20businesses%20aren%27t%20easy%20to%20find%20on%20Google%20%E2%80%94%20so%20I%20built%20you%20a%20FREE%20sample%20site%20to%20show%20what%27s%20possible%3A%20https%3A//thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-astron-energy.html%0ANo%20catch%2C%20just%20proof.%20If%20you%20like%20it%2C%20the%20real%20version%20is%20R1%2C500%20setup%20%2B%20R450/month%20and%20comes%20WhatsApp-ready.%20Want%20it%20to%20be%20yours%3F%20Reply%20SITECRAFT.,pending
Alexandra,Astron Energy,fuel,+27 11 804 5848,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-astron-energy.html,"Hi Astron Energy 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra fuel businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-astron-energy.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",https://wa.me/27118045848?text=Hi%20Astron%20Energy%20%F0%9F%91%8B%20Thabang%20from%20SiteCraft%20SA%20here.%20I%20noticed%20a%20lot%20of%20Alexandra%20fuel%20businesses%20aren%27t%20easy%20to%20find%20on%20Google%20%E2%80%94%20so%20I%20built%20you%20a%20FREE%20sample%20site%20to%20show%20what%27s%20possible%3A%20https%3A//thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-astron-energy.html%0ANo%20catch%2C%20just%20proof.%20If%20you%20like%20it%2C%20the%20real%20version%20is%20R1%2C500%20setup%20%2B%20R450/month%20and%20comes%20WhatsApp-ready.%20Want%20it%20to%20be%20yours%3F%20Reply%20SITECRAFT.,pending
Alexandra,Astron Energy,fuel,+27 860 300 860,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-astron-energy.html,"Hi Astron Energy 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra fuel businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-astron-energy.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",https://wa.me/27860300860?text=Hi%20Astron%20Energy%20%F0%9F%91%8B%20Thabang%20from%20SiteCraft%20SA%20here.%20I%20noticed%20a%20lot%20of%20Alexandra%20fuel%20businesses%20aren%27t%20easy%20to%20find%20on%20Google%20%E2%80%94%20so%20I%20built%20you%20a%20FREE%20sample%20site%20to%20show%20what%27s%20possible%3A%20https%3A//thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-astron-energy.html%0ANo%20catch%2C%20just%20proof.%20If%20you%20like%20it%2C%20the%20real%20version%20is%20R1%2C500%20setup%20%2B%20R450/month%20and%20comes%20WhatsApp-ready.%20Want%20it%20to%20be%20yours%3F%20Reply%20SITECRAFT.,pending
Alexandra,BP,fuel,+27 11 882 1113,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-bp.html,"Hi BP 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra fuel businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-bp.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",https://wa.me/27118821113?text=Hi%20BP%20%F0%9F%91%8B%20Thabang%20from%20SiteCraft%20SA%20here.%20I%20noticed%20a%20lot%20of%20Alexandra%20fuel%20businesses%20aren%27t%20easy%20to%20find%20on%20Google%20%E2%80%94%20so%20I%20built%20you%20a%20FREE%20sample%20site%20to%20show%20what%27s%20possible%3A%20https%3A//thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-bp.html%0ANo%20catch%2C%20just%20proof.%20If%20you%20like%20it%2C%20the%20real%20version%20is%20R1%2C500%20setup%20%2B%20R450/month%20and%20comes%20WhatsApp-ready.%20Want%20it%20to%20be%20yours%3F%20Reply%20SITECRAFT.,pending
Alexandra,BP,fuel,+27 11 444 7243,https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-bp.html,"Hi BP 👋 Thabang from SiteCraft SA here. I noticed a lot of Alexandra fuel businesses aren't easy to find on Google — so I built you a FREE sample site to show what's possible: https://thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-bp.html
No catch, just proof. If you like it, the real version is R1,500 setup + R450/month and comes WhatsApp-ready. Want it to be yours? Reply SITECRAFT.",https://wa.me/27114447243?text=Hi%20BP%20%F0%9F%91%8B%20Thabang%20from%20SiteCraft%20SA%20here.%20I%20noticed%20a%20lot%20of%20Alexandra%20fuel%20businesses%20aren%27t%20easy%20to%20find%20on%20Google%20%E2%80%94%20so%20I%20built%20you%20a%20FREE%20sample%20site%20to%20show%20what%27s%20possible%3A%20https%3A//thabs1234.github.io/sitecraft-sa/samples/townships/alexandra-bp.html%0ANo%20catch%2C%20just%20proof.%20If%20you%20like%20it%2C%20the%20real%20version%20is%20R1%2C500%20setup%20%2B%20R450/month%20and%20comes%20WhatsApp-ready.%20Want%20it%20to%20be%20yours%3F%20Reply%20SITECRAFT.,pending
